SSD,d,P,delta
-1,6,6,5
-1,4,10,8
-1,2,12,8
-1,2,14,7
-1,5,19,6
-1,9,28,4
-1,22,50,6
-1,40,90,6
-1,78,168,7
-1,149,317,8
-1,1,318,-276
-1,1,319,-845
-1,831,1150,-1134
-1,1060,2210,-2274
-1,2042,4252,-4555
-1,4186,8438,-8867
-1,8195,16633,-17668
-1,16543,33176,-34832
-1,32915,66091,-68761
-1,65773,131864,-135556
-1,131546,263410,-266946
-1,262260,525670,-526235
-1,523460,1049130,-1045873
-1,1044878,2094008,-2078693
-1,2085570,4179578,-4131523
-1,4177518,8357096,-8197098
-1,8340463,16697559,-16275977
-1,16664383,33361942,-32317710
-1,33295851,66657793,-64171155
-1,66525929,133183722,-127943818
-1,132920312,266104034,-255099141
-1,265578364,531682398,-508628949
-1,531156728,1062839126,-1013610867
-1,1061789996,2124629122,-2019959763
-1,2122535114,4247164236,-4025459340
-1,4242984658,8490148894,-8022124722
-1,8481791798,16971940692,-15986926888
