SSD,d,P,delta
-1,3,3,2
-1,9,12,10
-1,4,16,12
-1,8,24,17
-1,6,30,17
-1,2,32,8
-1,32,64,20
-1,48,112,28
-1,88,200,39
-1,176,376,67
-1,1,377,-217
-1,1,378,-786
-1,889,1267,-1017
-1,1155,2422,-2062
-1,2254,4676,-4131
-1,4564,9240,-8065
-1,9128,18368,-15933
-1,18168,36536,-31472
-1,36220,72756,-62096
-1,72379,145135,-122285
-1,144067,289202,-241154
-1,287935,577137,-474768
-1,574715,1151852,-943151
-1,1147176,2299028,-1873673
-1,2289788,4588816,-3722285
-1,4570448,9159264,-7394930
-1,9122728,18281992,-14691544
-1,18209236,36491228,-29188424
-1,36346093,72837321,-57991627
-1,72835590,145672911,-115454629
-1,145383709,291056620,-230146555
-1,290479483,581536103,-458775244
-1,580958966,1162495069,-913954924
-1,1161343217,2323838286,-1820750599
-1,2321539258,4645377544,-3627246032
-1,4640788728,9286166272,-7226107344
-1,9277007008,18563173280,-14395694300
