SSD,d,P,delta
-1,4,4,3
-1,4,8,6
-1,8,16,12
-1,6,22,15
-1,3,25,12
-1,3,28,4
-1,24,52,8
-1,44,96,12
-1,80,176,15
-1,154,330,21
-1,1,331,-263
-1,1,332,-832
-1,2,334,-1950
-1,1057,1391,-3093
-1,1259,2650,-6157
-1,2562,5212,-12093
-1,5072,10284,-24017
-1,10108,20392,-47616
-1,20110,40502,-94350
-1,40326,80828,-186592
-1,80597,161425,-368931
-1,161094,322519,-729386
-1,321929,644448,-1450555
-1,643057,1287505,-2885196
-1,1284855,2572360,-5738741
-1,2567148,5139508,-11414686
-1,5129224,10268732,-22704804
-1,10248340,20517072,-45162580
-1,20476570,40993642,-89835306
-1,40912814,81906456,-179221084
-1,81745031,163651487,-357551688
-1,163328968,326980455,-713330892
-1,326939953,653920408,-1422529585
-1,653275960,1307196368,-2837392517
-1,1305908863,2613105231,-5659518345
-1,2610532871,5223638102,-11288635514
-1,5218498594,10442136696,-22516730884
