SSD,d,P,delta
-1,4,4,3
-1,4,8,6
-1,8,16,12
-1,3,19,12
-1,3,22,9
-1,6,28,4
-1,24,52,8
-1,44,96,12
-1,77,173,12
-1,154,327,18
-1,1,328,-266
-1,1,329,-835
-1,2,331,-1953
-1,1045,1376,-3108
-1,1247,2623,-6184
-1,2559,5182,-12123
-1,5073,10255,-24046
-1,10029,20284,-47724
-1,20009,40293,-94559
-1,40197,80490,-186930
-1,80182,160672,-369684
-1,160344,321016,-730889
-1,319800,640816,-1454187
-1,639440,1280256,-2892445
-1,1277633,2557889,-5753212
-1,2552707,5110596,-11443598
-1,5100341,10210937,-22762599
-1,10190653,20401590,-45278062
-1,20361297,40762887,-90066061
-1,40682397,81445284,-179682256
-1,81284612,162729896,-358473279
-1,162408880,325138776,-715172571
-1,325099115,650237891,-1426212102
-1,649597075,1299834966,-2844753919
-1,1298554710,2598389676,-5674233900
-1,2595831787,5194221463,-11318052153
-1,5189110867,10383332330,-22575535250
