SSD,d,P,delta
-1,1,1,0
-1,9,10,8
-1,6,16,12
-1,4,20,13
-1,4,24,11
-1,8,32,8
-1,22,54,10
-1,44,98,14
-1,78,176,15
-1,152,328,19
-1,2,330,-264
-1,2,332,-832
-1,814,1146,-1138
-1,1048,2194,-2290
-1,2018,4212,-4595
-1,4080,8292,-9013
-1,8116,16408,-17893
-1,16232,32640,-35368
-1,32420,65060,-69792
-1,64730,129790,-137630
-1,128844,258634,-271722
-1,257488,516122,-535783
-1,513928,1030050,-1064953
-1,1025838,2055888,-2116813
-1,2047596,4103484,-4207617
-1,4087076,8190560,-8363634
-1,8157920,16348480,-16625056
-1,16283420,32631900,-33047752
-1,32502110,65134010,-65694938
-1,65117602,130251612,-130875928
-1,129992978,260244590,-260958585
-1,259728468,519973058,-520338289
-1,518943008,1038916066,-1037533927
-1,1036860178,2075776244,-2068812641
-1,2071672760,4147449004,-4125174572
-1,4143345520,8290794524,-8221479092
-1,8282603964,16573398488,-16385469092
