n,d_n,maxP,SSD_flag
1,6,6,1
2,3,9,1
3,2,11,1
4,1,12,1
5,5,17,0
6,13,30,0
7,24,54,0
8,45,99,0
9,82,181,0
10,164,345,0
11,323,668,0
12,619,1287,0
13,1233,2520,0
14,2421,4941,0
15,4760,9701,0
16,9356,19057,0
17,18389,37446,0
18,37101,74547,0
19,73260,147807,0
20,145287,293094,0
