n,d_n,maxP,SSD_flag
1,6,6,1
2,3,9,1
3,2,11,1
4,1,12,1
5,7,19,1
6,13,32,1
7,26,58,1
8,49,107,1
9,90,197,1
10,185,382,1
11,350,732,1
12,674,1406,0
13,1348,2754,0
14,2673,5427,0
15,5230,10657,0
16,10275,20932,0
17,20550,41482,0
18,40750,82232,0
19,80826,163058,0
20,160304,323362,0
