n,d_n,maxP,SSD_flag
1,6,6,1
2,3,9,1
3,2,11,1
4,1,12,1
5,7,19,1
6,15,34,0
7,26,60,0
8,51,111,0
9,94,205,0
10,193,398,0
11,367,765,0
12,731,1496,0
13,1436,2932,0
14,2821,5753,0
15,5548,11301,0
16,10903,22204,0
17,21999,44203,0
18,43438,87641,0
19,86145,173786,0
20,170854,344640,0
