n,d_n,maxP,SSD_flag
1,6,6,1
2,3,9,1
3,2,11,1
4,1,12,1
5,7,19,1
6,13,32,1
7,26,58,1
8,49,107,1
9,90,197,1
10,185,382,1
11,350,732,1
12,676,1408,0
13,1348,2756,0
14,2675,5431,0
15,5234,10665,0
16,10283,20948,0
17,20566,41514,0
18,40783,82297,0
19,80889,163186,0
20,160430,323616,0
