n,d_n,maxP,SSD_flag
1,6,6,1
2,3,9,1
3,2,11,1
4,1,12,1
5,7,19,1
6,13,32,1
7,26,58,1
8,49,107,1
9,90,197,1
10,185,382,1
11,350,732,1
12,677,1409,0
13,1348,2757,0
14,2676,5433,0
15,5236,10669,0
16,10287,20956,0
17,20574,41530,0
18,40798,82328,0
19,80919,163247,0
20,160490,323737,0
