n,d_n,maxP,SSD_flag
1,2,2,1
2,1,3,1
3,2,5,0
4,4,9,0
5,7,16,0
6,13,29,0
7,24,53,0
8,48,101,0
9,92,193,0
10,177,370,0
11,341,711,0
12,682,1393,0
13,1340,2733,0
14,2632,5365,0
15,5172,10537,0
16,10167,20704,0
17,20334,41038,0
18,40327,81365,0
19,79972,161337,0
20,158604,319941,0
21,314576,634517,0
22,623980,1258497,0
23,1247960,2506457,0
24,2485753,4992210,0
25,4951172,9943382,0
26,9862017,19805399,0
27,19644062,39449461,0
28,39129520,78578981,0
29,77944464,156523445,0
30,155888928,312412373,0
