n,d_n,maxP,SSD_flag
1,4,4,1
2,2,6,1
3,1,7,1
4,2,9,0
5,8,17,0
6,13,30,0
7,24,54,0
8,47,101,0
9,92,193,0
10,178,371,0
11,354,725,0
12,695,1420,0
13,1366,2786,0
14,2685,5471,0
15,5278,10749,0
16,10557,21306,0
17,20935,42241,0
18,41516,83757,0
19,82337,166094,0
20,163308,329402,0
21,323931,653333,0
22,647862,1301195,0
23,1293222,2594417,0
24,2573111,5167528,0
25,5125287,10292815,0
26,10209058,20501873,0
27,20335779,40837652,0
