n,d_n,maxP,SSD_flag
1,6,6,1
2,3,9,1
3,2,11,1
4,1,12,1
5,7,19,1
6,14,33,0
7,26,59,0
8,50,109,0
9,92,201,0
10,189,390,0
11,358,748,0
12,715,1463,0
13,1404,2867,0
14,2758,5625,0
15,5424,11049,0
16,10659,21708,0
17,21318,43026,0
18,42278,85304,0
19,83841,169145,0
20,166278,335423,0
