n,d_n,maxP,SSD_flag
1,1,1,1
2,1,2,1
3,2,4,1
4,4,8,1
5,6,14,1
6,12,26,1
7,22,48,1
8,40,88,1
9,80,168,1
10,154,322,1
11,296,618,1
12,570,1188,1
13,1140,2328,1
14,2240,4568,1
15,4400,8968,1
16,8646,17614,1
17,16996,34610,1
18,33992,68602,1
19,67414,136016,1
20,133688,269704,1
21,265136,534840,1
22,525872,1060712,1
23,1043098,2103810,1
24,2086196,4190006,1
25,4155396,8345402,1
26,8276800,16622202,1
27,16486186,33108388,1
28,32838684,65947072,1
