n,d_n,maxP,SSD_flag
1,6,6,1
2,3,9,1
3,2,11,1
4,1,12,1
5,7,19,1
6,16,35,1
7,26,61,1
8,52,113,1
9,96,209,1
10,197,406,1
11,371,777,1
12,716,1493,0
13,1432,2925,0
14,2838,5763,0
15,5554,11317,0
16,10911,22228,0
17,21822,44050,0
18,43273,87323,0
19,85830,173153,0
20,170228,343381,0
