n,d_n,maxP,SSD_flag
1,6,6,1
2,3,9,1
3,2,11,1
4,1,12,1
5,4,16,0
6,13,29,0
7,23,52,0
8,43,95,0
9,84,179,0
10,164,343,0
11,314,657,0
12,605,1262,0
13,1210,2472,0
14,2377,4849,0
15,4670,9519,0
16,9176,18695,0
17,18038,36733,0
18,36076,72809,0
19,71547,144356,0
20,141884,286240,0
