n,d_n,maxP,SSD_flag
1,1,1,1
2,1,2,1
3,2,4,1
4,5,9,1
5,6,15,1
6,13,28,1
7,24,52,1
8,43,95,1
9,91,186,1
10,171,357,1
11,329,686,1
12,658,1344,1
13,1292,2636,1
14,2541,5177,1
15,4991,10168,1
16,9811,19979,1
17,19622,39601,1
18,38915,78516,1
19,77172,155688,1
20,153052,308740,1
21,303563,612303,1
22,602135,1214438,1
23,1204270,2418708,1
24,2398729,4817437,1
25,4777836,9595273,1
26,9516757,19112030,1
27,18956342,38068372,1
28,37759632,75828004,1
