n,d_n,maxP,SSD_flag
1,1,1,1
2,1,2,1
3,2,4,1
4,6,10,1
5,6,16,1
6,14,30,1
7,26,56,1
8,46,102,1
9,92,194,1
10,178,372,1
11,342,714,1
12,658,1372,1
13,1316,2688,1
14,2586,5274,1
15,5080,10354,1
16,9982,20336,1
17,19622,39958,1
18,39244,79202,1
19,77830,157032,1
20,154344,311376,1
21,306102,617478,1
22,607124,1224602,1
23,1204266,2428868,1
24,2408532,4837400,1
25,4797442,9634842,1
26,9555640,19190482,1
27,19033450,38223932,1
