n,d_n,maxP,SSD_flag
1,6,6,1
2,3,9,1
3,2,11,1
4,1,12,1
5,7,19,1
6,20,39,1
7,26,65,1
8,56,121,1
9,104,225,1
10,213,438,1
11,400,838,1
12,799,1637,1
13,1572,3209,1
14,3088,6297,1
15,6072,12369,1
16,11931,24300,1
17,23862,48162,1
18,47324,95486,1
19,93849,189335,1
20,186126,375461,1
