n,d_n,maxP,SSD_flag
1,6,6,1
2,3,9,1
3,2,11,1
4,1,12,1
5,7,19,1
6,18,37,1
7,26,63,1
8,54,117,1
9,100,217,1
10,205,422,1
11,385,807,1
12,744,1551,0
13,1488,3039,0
14,2948,5987,0
15,5770,11757,0
16,11335,23092,0
17,22670,45762,0
18,44955,90717,0
19,89166,179883,0
20,176844,356727,0
