n,d_n,maxP,SSD_flag
1,6,6,1
2,3,9,1
3,2,11,1
4,1,12,1
5,7,19,1
6,13,32,1
7,26,58,1
8,49,107,1
9,90,197,1
10,185,382,1
11,350,732,1
12,675,1407,0
13,1348,2755,0
14,2674,5429,0
15,5232,10661,0
16,10279,20940,0
17,20558,41498,0
18,40766,82264,0
19,80857,163121,0
20,160366,323487,0
