SSD,d,P,delta
1,7,7,6
1,4,11,9
1,4,15,11
1,8,23,16
1,6,29,16
1,6,35,11
1,24,59,15
1,44,103,19
1,80,183,22
1,154,337,28
1,308,645,51
1,586,1231,67
1,1128,2359,75
1,2256,4615,131
1,4432,9047,240
1,8710,17757,452
1,17112,34869,568
1,33638,68507,499
1,67276,135783,931
1,133424,269207,1787
1,264592,533799,3443
1,524752,1058551,6646
1,1040794,2099345,4342
1,2064476,4163821,-8880
1,4128952,8292773,-18328
1,8224266,16517039,-37155
1,16381256,32898295,-75241
