SSD,d,P,delta
1,2,2,1
1,4,6,4
1,7,13,9
1,9,22,15
1,8,30,17
1,8,38,14
1,32,70,26
1,48,118,34
1,88,206,45
1,176,382,73
1,312,694,100
1,624,1318,154
1,1200,2518,234
1,2312,4830,346
1,4448,9278,471
1,8896,18174,869
1,17480,35654,1353
1,34336,69990,1982
1,67472,137462,2610
1,132632,270094,2674
1,265264,535358,5002
1,526080,1061438,9533
1,1043264,2104702,9699
1,2069048,4173750,1049
1,4103760,8277510,-33591
1,8140048,16417558,-136636
1,16280096,32697654,-275882
