n,d_n,maxP,SSD_flag
1,4,4,-1
2,2,6,-1
3,1,7,-1
4,1,8,-1
5,8,16,-1
6,12,28,-1
7,22,50,-1
8,43,93,-1
9,78,171,-1
10,155,326,-1
11,298,624,-1
12,574,1198,-1
13,1105,2303,-1
14,2253,4556,-1
15,4385,8941,-1
16,8615,17556,-1
17,16932,34488,-1
18,33864,68352,-1
19,67154,135506,-1
20,133203,268709,-1
21,264153,532862,-1
22,523921,1056783,-1
23,1039227,2096010,-1
24,2078454,4174464,-1
25,4139976,8314440,-1
26,8246088,16560528,-1
27,16425022,32985550,-1
28,32716841,65702391,-1
29,65169529,130871920,-1
30,129815137,260687057,-1
31,259630274,520317331,-1
32,518221321,1038538652,-1
33,1034364188,2072902840,-1
34,2064588400,4137491240,-1
35,4120930712,8258421952,-1
