n,d_n,maxP,SSD_flag
1,1,1,-1
2,4,5,-1
3,2,7,-1
4,2,9,-1
5,8,17,-1
6,12,29,-1
7,22,51,-1
8,44,95,-1
9,78,173,-1
10,156,329,-1
11,300,629,-1
12,578,1207,-1
13,1112,2319,-1
14,2224,4543,-1
15,4370,8913,-1
16,8584,17497,-1
17,16868,34365,-1
18,33158,67523,-1
19,66316,133839,-1
20,131520,265359,-1
21,260816,526175,-1
22,517262,1043437,-1
23,1025940,2069377,-1
24,2035012,4104389,-1
25,4070024,8174413,-1
26,8106890,16281303,-1
27,16147464,32428767,-1
28,32163408,64592175,-1
29,64066000,128658175,-1
30,127614738,256272913,-1
31,254203536,510476449,-1
32,508407072,1018883521,-1
33,1014779132,2033662653,-1
34,2025488240,4059150893,-1
35,4042869590,8102020483,-1
