SSD,d,P,delta
1,2,2,1
1,1,3,1
1,1,4,0
1,4,8,1
1,17,25,12
1,11,36,12
1,11,47,3
1,44,91,7
1,83,174,13
1,155,329,20
1,293,622,28
1,586,1208,44
1,1117,2325,41
1,2234,4559,75
1,4385,8944,137
1,8615,17559,254
1,16937,34496,195
1,33288,67784,-224
1,67162,134946,94
1,132621,267567,147
1,263008,530575,219
1,521631,1052206,301
1,1034647,2086853,-8150
1,2069294,4156147,-16554
1,4121651,8277798,-33303
1,8210014,16487812,-66382
1,16352866,32840678,-132858
1,32573111,65413789,-265863
1,64883214,130297003,-531945
1,129244797,259541800,-1585740
1,258489594,518031394,-3171781
1,515944541,1033975935,-6335412
-1,1029819788,2063795723,-12654270
-1,2055517925,4119313648,-25275237
-1,4102825836,8222139484,-50484092
-1,8189298806,16411438290,-100835326
-1,16346024501,32757462791,-201404789
