SSD,d,P,delta
-1,3,3,2
-1,2,5,3
-1,1,6,2
-1,1,7,0
-1,7,14,1
-1,11,25,1
-1,20,45,1
-1,39,84,0
-1,78,162,1
-1,148,310,1
-1,285,595,1
-1,570,1165,1
-1,1120,2285,1
-1,2201,4486,2
-1,4324,8810,3
-1,8500,17310,5
-1,17000,34310,9
-1,33715,68025,17
-1,66860,134885,33
-1,132600,267485,65
-1,262999,530484,128
-1,521674,1052158,253
-1,1043348,2095506,503
-1,2078196,4173702,1001
-1,4139392,8313094,1993
-1,8245069,16558163,3969
-1,16423278,32981441,7905
-1,32713956,65695397,15745
-1,65164913,130860310,31362
-1,130329826,261190136,62596
-1,260137978,521328114,124939
-1,519232608,1040560722,249375
-1,1036387020,2076947742,497749
-1,2068634648,4145582390,993505
-1,4129024227,8274606617,1983041
-1,8241625176,16516231793,3958177
-1,16450536396,32966768189,7900609
