SSD,d,P,delta
1,6,6,5
1,4,10,8
1,1,11,7
1,1,12,5
0,2,14,1
1,14,28,4
1,22,50,6
1,39,89,5
1,78,167,6
1,155,322,13
1,294,616,22
1,566,1182,18
1,1132,2314,30
1,2225,4539,55
1,4372,8911,104
1,8589,17500,195
1,16884,34384,83
1,33768,68152,144
1,66970,135122,270
1,132808,267930,510
1,263391,531321,965
1,522410,1053731,1826
1,1036231,2089962,-5041
1,2072462,4162424,-10277
1,4128040,8290464,-20637
1,8222312,16512776,-41418
-1,16377654,32890430,-83106
-1,32622500,65512930,-166722
-1,64981609,130494539,-334409
-1,129440808,259935347,-1192193
-1,258881616,518816963,-2386212
-1,516727001,1035543964,-4767383
-1,1031381540,2066925504,-9524489
-1,2058635040,4125560544,-19028341
-1,4109047768,8234608312,-38015264
-1,8201717882,16436326194,-75947422
-1,16370813264,32807139458,-151728122
