SSD,d,P,delta
1,3,3,2
1,1,4,2
1,2,6,2
1,2,8,1
1,8,16,3
1,12,28,4
1,22,50,6
1,44,94,10
1,78,172,11
1,156,328,19
1,300,628,34
1,578,1206,42
1,1112,2318,34
1,2224,4542,58
1,4370,8912,105
1,8584,17496,191
1,16868,34364,63
1,33158,67522,-486
1,66316,133838,-1014
1,131520,265358,-2062
1,260816,526174,-4182
1,517262,1043436,-8469
1,1025940,2069376,-25627
1,2035012,4104388,-68313
1,4070024,8174412,-136689
1,8106890,16281302,-272892
-1,16147464,32428766,-544770
-1,32163408,64592174,-1087478
-1,64066000,128658174,-2170774
-1,127614738,256272912,-4854628
-1,254203536,510476448,-10726727
-1,508407072,1018883520,-21427827
-1,1014779132,2033662652,-42787341
-1,2025488240,4059150892,-85437993
-1,4042869590,8102020482,-170603094
-1,8069591716,16171612198,-340661418
-1,16107020024,32278632222,-680235358
