SSD,d,P,delta
1,5,5,4
1,8,13,11
1,4,17,13
1,4,21,14
0,2,23,10
1,14,37,13
1,24,61,17
1,44,105,21
1,88,193,32
1,156,349,40
1,312,661,67
1,600,1261,97
1,1156,2417,133
1,2224,4641,157
1,4448,9089,282
1,8740,17829,524
1,17168,34997,696
1,33736,68733,725
1,66316,135049,197
1,132632,267681,261
1,263040,530721,365
1,521632,1052353,448
1,1034524,2086877,-8126
1,2051880,4138757,-33944
1,4070024,8208781,-102320
1,8140048,16348829,-205365
1,16213780,32562609,-410927
