SSD,d,P,delta
-1,1,1,0
-1,4,5,3
-1,2,7,3
-1,2,9,2
-1,8,17,4
-1,12,29,5
-1,22,51,7
-1,44,95,11
-1,78,173,12
-1,156,329,20
-1,300,629,35
-1,578,1207,43
-1,1112,2319,35
-1,2224,4543,59
-1,4370,8913,106
-1,8584,17497,192
-1,16868,34365,64
-1,33158,67523,-485
-1,66316,133839,-1013
-1,131520,265359,-2061
-1,260816,526175,-4181
-1,517262,1043437,-8468
-1,1025940,2069377,-25626
-1,2035012,4104389,-68312
-1,4070024,8174413,-136688
-1,8106890,16281303,-272891
-1,16147464,32428767,-544769
-1,32163408,64592175,-1087477
-1,64066000,128658175,-2170773
-1,127614738,256272913,-4854627
-1,254203536,510476449,-10726726
-1,508407072,1018883521,-21427826
-1,1014779132,2033662653,-42787340
-1,2025488240,4059150893,-85437992
-1,4042869590,8102020483,-170603093
-1,8069591716,16171612199,-340661417
-1,16107020024,32278632223,-680235357
