SSD,d,P,delta
-1,1,1,0
-1,6,7,5
-1,2,9,5
-1,4,13,6
-1,4,17,4
-1,16,33,9
-1,24,57,13
-1,44,101,17
-1,88,189,28
-1,156,345,36
-1,312,657,63
-1,600,1257,93
-1,1156,2413,129
-1,2224,4637,153
-1,4448,9085,278
-1,8740,17825,520
-1,17168,34993,692
-1,33736,68729,721
-1,66316,135045,193
-1,132632,267677,257
-1,263040,530717,361
-1,521632,1052349,444
-1,1034524,2086873,-8130
-1,2051880,4138753,-33948
-1,4070024,8208777,-102324
-1,8140048,16348825,-205369
-1,16213780,32562605,-410931
-1,32294928,64857533,-822119
-1,64326816,129184349,-1644599
-1,128132000,257316349,-3811191
-1,255229476,512545825,-8657350
-1,508407072,1020952897,-19358450
-1,1016814144,2037767041,-38682952
-1,2029558264,4067325305,-77263580
-1,4050976480,8118301785,-154321791
-1,8085739180,16204040965,-308232651
-1,16139183432,32343224397,-615643183
