SSD,d,P,delta
1,3,3,2
1,3,6,4
1,8,14,10
1,4,18,11
1,4,22,9
1,16,38,14
1,24,62,18
1,44,106,22
1,88,194,33
1,156,350,41
1,312,662,68
1,600,1262,98
1,1156,2418,134
1,2224,4642,158
1,4448,9090,283
1,8740,17830,525
1,17168,34998,697
1,33736,68734,726
1,66316,135050,198
1,132632,267682,262
1,263040,530722,366
1,521632,1052354,449
1,1034524,2086878,-8125
1,2051880,4138758,-33943
1,4070024,8208782,-102319
1,8140048,16348830,-205364
1,16213780,32562610,-410926
