SSD,d,P,delta
-1,7,7,6
-1,1,8,6
-1,2,10,6
-1,2,12,5
-1,4,16,3
-1,16,32,8
-1,22,54,10
-1,44,98,14
-1,86,184,23
-1,152,336,27
-1,304,640,46
-1,586,1226,62
-1,1128,2354,70
-1,2170,4524,40
-1,4340,8864,57
-1,8528,17392,87
-1,16752,34144,-157
-1,32918,67062,-946
-1,64708,131770,-3082
-1,129416,261186,-6234
-1,256662,517848,-12508
-1,508984,1026832,-25073
-1,1009440,2036272,-58731
-1,2002128,4038400,-134301
-1,3971338,8009738,-301363
-1,7942676,15952414,-601780
-1,15820644,31773058,-1200478
-1,31511872,63284930,-2394722
-1,62767082,126052012,-4776936
-1,125025180,251077192,-10050348
-1,249040920,500118112,-21085063
-1,496079712,996197824,-44113523
-1,992159424,1988357248,-88092745
-1,1980347510,3968704758,-175884127
-1,3952752344,7921457102,-351166474
-1,7889684044,15811141146,-701132470
-1,15747856216,31558997362,-1399870218
