SSD,d,P,delta
1,3,3,2
1,4,7,5
1,2,9,5
1,2,11,4
1,8,19,6
1,12,31,7
1,22,53,9
1,44,97,13
1,78,175,14
1,156,331,22
1,300,631,37
1,578,1209,45
1,1112,2321,37
1,2224,4545,61
1,4370,8915,108
1,8584,17499,194
1,16868,34367,66
1,33158,67525,-483
1,66316,133841,-1011
1,131520,265361,-2059
1,260816,526177,-4179
1,517262,1043439,-8466
1,1025940,2069379,-25624
1,2035012,4104391,-68310
1,4070024,8174415,-136686
1,8106890,16281305,-272889
