SSD,d,P,delta
-1,2,2,1
-1,1,3,1
-1,1,4,0
-1,4,8,1
-1,6,14,1
-1,11,25,1
-1,22,47,3
-1,39,86,2
-1,78,164,3
-1,150,314,5
-1,289,603,9
-1,556,1159,-5
-1,1112,2271,-13
-1,2185,4456,-28
-1,4292,8748,-59
-1,8434,17182,-123
-1,16579,33761,-540
-1,33158,66919,-1089
-1,65760,132679,-2173
-1,130408,263087,-4333
-1,258631,521718,-8638
-1,512970,1034688,-17217
-1,1017506,2052194,-42809
-1,2035012,4087206,-85495
-1,4053445,8140651,-170450
-1,8073732,16214383,-339811
-1,16081704,32296087,-677449
-1,32033000,64329087,-1350565
-1,63807369,128136456,-2692492
-1,127101768,255238224,-5889316
-1,254203536,509441760,-11761415
-1,507389566,1016831326,-23480021
-1,1012744120,2029575446,-46874547
-1,2021434795,4051010241,-93578644
-1,4034795858,8085806099,-186817477
-1,8053510012,16139316111,-372957505
-1,16074987024,32214303135,-744564445
