SSD,d,P,delta
-1,1,1,0
-1,8,9,7
-1,2,11,7
-1,2,13,6
-1,4,17,4
-1,16,33,9
-1,22,55,11
-1,44,99,15
-1,86,185,24
-1,152,337,28
-1,304,641,47
-1,586,1227,63
-1,1128,2355,71
-1,2170,4525,41
-1,4340,8865,58
-1,8528,17393,88
-1,16752,34145,-156
-1,32918,67063,-945
-1,64708,131771,-3081
-1,129416,261187,-6233
-1,256662,517849,-12507
-1,508984,1026833,-25072
-1,1009440,2036273,-58730
-1,2002128,4038401,-134300
-1,3971338,8009739,-301362
-1,7942676,15952415,-601779
-1,15820644,31773059,-1200477
-1,31511872,63284931,-2394721
-1,62767082,126052013,-4776935
-1,125025180,251077193,-10050347
-1,249040920,500118113,-21085062
-1,496079712,996197825,-44113522
-1,992159424,1988357249,-88092744
-1,1980347510,3968704759,-175884126
-1,3952752344,7921457103,-351166473
-1,7889684044,15811141147,-701132469
-1,15747856216,31558997363,-1399870217
