SSD,d,P,delta
1,4,4,3
1,1,5,3
1,1,6,2
1,2,8,1
1,8,16,3
1,11,27,3
1,22,49,5
1,43,92,8
1,76,168,7
1,152,320,11
1,293,613,19
1,564,1177,13
1,1085,2262,-22
1,2170,4432,-52
1,4264,8696,-111
1,8376,17072,-233
1,16459,33531,-770
1,32354,65885,-2123
1,64708,130593,-4259
1,128331,258924,-8496
1,254492,513416,-16940
1,504720,1018136,-33769
1,1001064,2019200,-75803
1,1985669,4004869,-167832
1,3971338,7976207,-334894
1,7910322,15886529,-667665
-1,15755936,31642465,-1331071
-1,31383541,63026006,-2653646
-1,62512590,125538596,-5290352
-1,124520460,250059056,-11068484
-1,248039856,498098912,-23104263
-1,496079712,994178624,-46132723
-1,990173755,1984352379,-92097614
-1,1976376172,3960728551,-183860334
-1,3944842022,7905570573,-367053003
-1,7873928108,15779498681,-732774935
-1,15716472675,31495971356,-1462896224
