SSD,d,P,delta
1,2,2,1
1,8,10,8
1,5,15,11
1,4,19,12
1,1,20,7
1,16,36,12
1,21,57,13
1,47,104,20
1,89,193,32
1,157,350,41
1,314,664,70
1,607,1271,107
1,1167,2438,154
1,2245,4683,199
1,4490,9173,366
1,8823,17996,691
1,17332,35328,1027
1,34057,69385,1377
1,66947,136332,1480
1,133894,270226,2806
1,265543,535769,5413
1,526596,1062365,10460
1,1044369,2106734,11731
1,2071406,4178140,5439
1,4108755,8286895,-24206
1,8217510,16504405,-49789
1,16368073,32872478,-101058
-1,32602252,65474730,-204922
-1,64938961,130413691,-415257
-1,129351326,259765017,-1362523
-1,257658283,517423300,-3779875
-1,513245160,1030668460,-9642887
-1,1026490320,2057158780,-19291213
-1,2048871885,4106030665,-38558220
-1,4089526260,8195556925,-77066651
-1,8162684447,16358241372,-154032244
-1,16292766642,32651008014,-307859566
