SSD,d,P,delta
-1,1,1,0
-1,1,2,0
-1,2,4,0
-1,4,8,1
-1,6,14,1
-1,12,26,2
-1,22,48,4
-1,40,88,4
-1,80,168,7
-1,154,322,13
-1,296,618,24
-1,570,1188,24
-1,1140,2328,44
-1,2240,4568,84
-1,4400,8968,161
-1,8646,17614,309
-1,16996,34610,309
-1,33992,68602,594
-1,67414,136016,1164
-1,133688,269704,2284
-1,265136,534840,4484
-1,525872,1060712,8807
-1,1043098,2103810,8807
-1,2086196,4190006,17305
-1,4155396,8345402,34301
-1,8276800,16622202,68008
-1,16486186,33108388,134852
-1,32838684,65947072,267420
-1,65412232,131359304,530356
-1,130298592,261657896,530356
-1,260597184,522255080,1051905
-1,520151270,1042406350,2095003
-1,1038216344,2080622694,4172701
-1,2072277292,4152899986,8311101
-1,4136277784,8289177770,16554194
-1,8256069382,16545247152,32973536
-1,16479300080,33024547232,65679652
