SSD,d,P,delta
-1,2,2,1
-1,7,9,7
-1,1,10,6
-1,4,14,7
-1,4,18,5
-1,16,34,10
-1,24,58,14
-1,44,102,18
-1,88,190,29
-1,156,346,37
-1,312,658,64
-1,600,1258,94
-1,1156,2414,130
-1,2224,4638,154
-1,4448,9086,279
-1,8740,17826,521
-1,17168,34994,693
-1,33736,68730,722
-1,66316,135046,194
-1,132632,267678,258
-1,263040,530718,362
-1,521632,1052350,445
-1,1034524,2086874,-8129
-1,2051880,4138754,-33947
-1,4070024,8208778,-102323
-1,8140048,16348826,-205368
-1,16213780,32562606,-410930
-1,32294928,64857534,-822118
-1,64326816,129184350,-1644598
-1,128132000,257316350,-3811190
-1,255229476,512545826,-8657349
-1,508407072,1020952898,-19358449
-1,1016814144,2037767042,-38682951
-1,2029558264,4067325306,-77263579
-1,4050976480,8118301786,-154321790
-1,8085739180,16204040966,-308232650
-1,16139183432,32343224398,-615643182
