SSD,d,P,delta
1,64,64,63
1,16,80,78
1,4,84,80
1,1,85,78
1,1,86,73
1,2,88,64
1,8,96,52
1,32,128,44
1,128,256,95
1,171,427,118
1,342,769,175
1,683,1452,288
1,1196,2648,364
1,2392,5040,556
1,4613,9653,846
1,8884,18537,1232
1,17085,35622,1321
1,34170,69792,1784
1,67144,136936,2084
1,131896,268832,1412
1,259179,528011,-2345
1,509474,1037485,-14420
1,1018948,2056433,-38570
1,2020811,4077244,-95457
1,4007452,8084696,-226405
1,7947760,16032456,-521738
-1,15763624,31796080,-1177456
-1,31268069,63064149,-2615503
-1,62536138,125600287,-5228661
-1,124562802,250163089,-10964451
-1,248106656,498269745,-22933430
-1,494192501,992462246,-47849101
-1,984377550,1976839796,-99610197
-1,1960807340,3937647136,-206941749
-1,3905851056,7843498192,-429125384
-1,7811702112,15655200304,-857073312
-1,15592136155,31247336459,-1711531121
