SSD,d,P,delta
1,6,6,5
1,2,8,6
1,5,13,9
1,3,16,9
1,4,20,7
1,12,32,8
1,24,56,12
1,45,101,17
1,88,189,28
1,157,346,37
1,314,660,66
1,604,1264,100
1,1163,2427,143
1,2238,4665,181
1,4476,9141,334
1,8795,17936,631
1,17276,35212,911
1,33948,69160,1152
1,66733,135893,1041
1,133466,269359,1939
1,264694,534053,3697
1,524912,1058965,7060
1,1041029,2099994,4991
1,2064782,4164776,-7925
1,4095616,8260392,-50709
1,8191232,16451624,-102570
