SSD,d,P,delta
1,128,128,127
1,32,160,158
1,8,168,164
1,2,170,163
1,1,171,158
1,1,172,148
1,4,176,132
1,16,192,108
1,64,256,95
1,256,512,203
1,342,854,260
1,683,1537,373
1,1366,2903,619
1,2391,5294,810
1,4782,10076,1269
1,9222,19298,1993
1,17761,37059,2758
1,34156,71215,3207
1,68312,139527,4675
1,134233,273760,6340
1,263684,537444,7088
1,518146,1055590,3685
1,1018531,2074121,-20882
1,2037062,4111183,-61518
1,4039968,8151151,-159950
1,8011624,16162775,-391419
