SSD,d,P,delta
1,4,4,3
1,2,6,4
1,9,15,11
1,5,20,13
1,8,28,15
1,8,36,12
1,32,68,24
1,48,116,32
1,88,204,43
1,176,380,71
1,312,692,98
1,624,1316,152
1,1200,2516,232
1,2312,4828,344
1,4448,9276,469
1,8896,18172,867
1,17480,35652,1351
1,34336,69988,1980
1,67472,137460,2608
1,132632,270092,2672
1,265264,535356,5000
1,526080,1061436,9531
1,1043264,2104700,9697
1,2069048,4173748,1047
1,4103760,8277508,-33593
1,8140048,16417556,-136638
1,16280096,32697652,-275884
