n,d_n,maxP,SSD_flag
1,1,1,1
2,10,11,1
3,2,13,1
4,2,15,1
5,4,19,0
6,6,25,0
7,24,49,0
8,36,85,0
9,70,155,0
10,136,291,0
11,272,563,0
12,514,1077,0
13,1028,2105,0
14,2020,4125,0
15,3970,8095,0
16,7804,15899,0
17,15336,31235,0
18,30672,61907,0
19,60830,122737,0
20,120632,243369,0
