n,d_n,maxP,SSD_flag
1,1,1,1
2,8,9,1
3,2,11,1
4,2,13,1
5,4,17,1
6,6,23,0
7,22,45,0
8,34,79,0
9,66,145,0
10,128,273,0
11,256,529,0
12,484,1013,0
13,968,1981,0
14,1902,3883,0
15,3738,7621,0
16,7348,14969,0
17,14440,29409,0
18,28880,58289,0
19,57276,115565,0
20,113584,229149,0
