n,d_n,maxP,SSD_flag
1,4,4,1
2,4,8,1
3,1,9,1
4,1,10,1
5,2,12,0
6,3,15,0
7,20,35,0
8,26,61,0
9,52,113,0
10,103,216,0
11,204,420,0
12,408,828,0
13,793,1621,0
14,1560,3181,0
15,3120,6301,0
16,6188,12489,0
17,12273,24762,0
18,24342,49104,0
19,48276,97380,0
20,95759,193139,0
