n,d_n,maxP,SSD_flag
1,2,2,1
2,1,3,1
3,1,4,1
4,4,8,1
5,6,14,1
6,11,25,1
7,22,47,1
8,39,86,1
9,78,164,1
10,150,314,1
11,289,603,1
12,556,1159,1
13,1112,2271,1
14,2185,4456,1
15,4292,8748,1
16,8434,17182,1
17,16579,33761,1
18,33158,66919,1
19,65760,132679,1
20,130408,263087,1
21,258631,521718,1
22,512970,1034688,1
23,1017506,2052194,1
24,2035012,4087206,1
25,4053445,8140651,1
26,8073732,16214383,1
27,16081704,32296087,1
28,32033000,64329087,1
29,63807369,128136456,1
30,127101768,255238224,1
