n,d_n,maxP,SSD_flag
1,4,4,1
2,3,7,1
3,1,8,1
4,1,9,1
5,2,11,0
6,14,25,0
7,18,43,0
8,35,78,0
9,70,148,0
10,139,287,0
11,265,552,0
12,527,1079,0
13,1036,2115,0
14,2037,4152,0
15,4004,8156,0
16,7869,16025,0
17,15947,31972,0
18,31420,63392,0
19,62313,125705,0
20,123590,249295,0
