n,d_n,maxP,SSD_flag
1,1,1,1
2,7,8,1
3,2,10,1
4,2,12,1
5,4,16,1
6,6,22,0
7,22,44,0
8,34,78,0
9,66,144,0
10,128,272,0
11,256,528,0
12,484,1012,0
13,968,1980,0
14,1902,3882,0
15,3738,7620,0
16,7348,14968,0
17,14440,29408,0
18,28880,58288,0
19,57276,115564,0
20,113584,229148,0
