n,d_n,maxP,SSD_flag
1,4,4,1
2,1,5,1
3,1,6,1
4,2,8,1
5,3,11,0
6,11,22,0
7,17,39,0
8,33,72,0
9,64,136,0
10,128,264,0
11,242,506,0
12,484,990,0
13,951,1941,0
14,1869,3810,0
15,3674,7484,0
16,7220,14704,0
17,14440,29144,0
18,28638,57782,0
19,56792,114574,0
20,112633,227207,0
21,223397,450604,0
22,443120,893724,0
23,886240,1779964,0
24,1765260,3545224,0
25,3516080,7061304,0
