n,d_n,maxP,SSD_flag
1,5,5,1
2,3,8,1
3,1,9,1
4,1,10,1
5,2,12,0
6,15,27,0
7,19,46,0
8,37,83,0
9,74,157,0
10,147,304,0
11,280,584,0
12,557,1141,0
13,1095,2236,0
14,2153,4389,0
15,4232,8621,0
16,8317,16938,0
17,16781,33719,0
18,33135,66854,0
19,65713,132567,0
20,130331,262898,0
21,258509,521407,0
22,517018,1038425,0
