n,d_n,maxP,SSD_flag
1,2,2,1
2,3,5,1
3,1,6,1
4,1,7,0
5,7,14,0
6,12,26,0
7,21,47,0
8,41,88,0
9,82,170,0
10,156,326,0
11,300,626,0
12,600,1226,0
13,1179,2405,0
14,2317,4722,0
15,4552,9274,0
16,8948,18222,0
17,17896,36118,0
18,35492,71610,0
19,70384,141994,0
20,139589,281583,0
21,276861,558444,0
22,549170,1107614,0
23,1098340,2205954,0
24,2187732,4393686,0
25,4357568,8751254,0
