n,d_n,maxP,SSD_flag
1,6,6,1
2,2,8,1
3,1,9,1
4,1,10,1
5,4,14,0
6,14,28,0
7,20,48,0
8,39,87,0
9,78,165,0
10,151,316,0
11,288,604,0
12,576,1180,0
13,1132,2312,0
14,2225,4537,0
15,4372,8909,0
16,8593,17502,0
17,17186,34688,0
18,34084,68772,0
19,67592,136364,0
20,134052,270416,0
21,265879,536295,0
22,527386,1063681,0
